CMDLINE D:\anaconda3\envs\pytorch\python.exe .\main.py
MEM 174.761719 1711776299.9633
MEM 178.546875 1711776300.0721
MEM 169.617188 1711776300.1828
MEM 173.054688 1711776300.2922
MEM 174.878906 1711776300.4014
MEM 175.015625 1711776300.5112
MEM 175.187500 1711776300.6204
MEM 175.273438 1711776300.7291
MEM 175.304688 1711776300.8368
MEM 180.125000 1711776300.9480
MEM 169.886719 1711776301.0583
MEM 173.019531 1711776301.1683
MEM 174.691406 1711776301.2777
MEM 174.894531 1711776301.3841
MEM 175.097656 1711776301.4935
MEM 175.140625 1711776301.6042
MEM 175.257812 1711776301.7139
MEM 170.058594 1711776301.8241
MEM 170.355469 1711776301.9334
MEM 173.734375 1711776302.0439
MEM 175.175781 1711776302.1544
MEM 175.265625 1711776302.2638
MEM 175.523438 1711776302.3707
MEM 175.562500 1711776302.4810
MEM 175.625000 1711776302.5902
MEM 169.613281 1711776302.6991
MEM 170.136719 1711776302.8094
MEM 173.824219 1711776302.9173
MEM 175.621094 1711776303.0265
MEM 175.925781 1711776303.1348
MEM 176.042969 1711776303.2450
MEM 176.070312 1711776303.3544
MEM 176.074219 1711776303.4646
MEM 170.738281 1711776303.5729
MEM 170.750000 1711776303.6798
MEM 174.718750 1711776303.7901
MEM 176.027344 1711776303.8993
MEM 176.109375 1711776304.0096
MEM 176.457031 1711776304.1190
MEM 176.480469 1711776304.2297
MEM 179.605469 1711776304.3392
MEM 170.585938 1711776304.4504
MEM 174.503906 1711776304.5603
MEM 176.167969 1711776304.6710
MEM 176.656250 1711776304.7822
MEM 176.812500 1711776304.8930
MEM 176.820312 1711776305.0023
MEM 176.847656 1711776305.1131
MEM 171.132812 1711776305.2234
MEM 171.152344 1711776305.3336
MEM 174.750000 1711776305.4438
MEM 176.324219 1711776305.5530
MEM 176.402344 1711776305.6632
MEM 176.507812 1711776305.7740
MEM 176.507812 1711776305.8809
MEM 176.515625 1711776305.9883
MEM 181.839844 1711776306.0995
MEM 170.527344 1711776306.2103
MEM 173.800781 1711776306.3200
MEM 174.402344 1711776306.4301
MEM 175.910156 1711776306.5379
MEM 176.191406 1711776306.6434
MEM 176.371094 1711776306.7537
MEM 176.562500 1711776306.8637
MEM 176.578125 1711776306.9721
MEM 176.578125 1711776307.0807
MEM 176.656250 1711776307.1896
MEM 176.656250 1711776307.2982
MEM 171.000000 1711776307.4081
MEM 171.007812 1711776307.5180
MEM 174.750000 1711776307.6294
MEM 175.503906 1711776307.7384
MEM 176.585938 1711776307.8472
MEM 176.648438 1711776307.9570
MEM 176.671875 1711776308.0659
MEM 176.687500 1711776308.1728
MEM 176.753906 1711776308.2820
MEM 176.753906 1711776308.3915
MEM 176.753906 1711776308.5003
MEM 176.753906 1711776308.6099
MEM 170.734375 1711776308.7199
MEM 171.835938 1711776308.8307
MEM 174.371094 1711776308.9385
MEM 175.812500 1711776309.0474
MEM 176.101562 1711776309.1560
MEM 176.195312 1711776309.2655
MEM 176.429688 1711776309.3737
MEM 176.562500 1711776309.4828
MEM 176.566406 1711776309.5932
MEM 176.574219 1711776309.7027
MEM 176.578125 1711776309.8116
MEM 171.242188 1711776309.9211
MEM 171.511719 1711776310.0307
MEM 174.289062 1711776310.1393
MEM 175.187500 1711776310.2480
MEM 176.203125 1711776310.3564
MEM 176.500000 1711776310.4666
MEM 176.597656 1711776310.5755
MEM 176.597656 1711776310.6863
MEM 176.601562 1711776310.7936
MEM 176.605469 1711776310.9020
MEM 176.707031 1711776311.0104
MEM 176.730469 1711776311.1200
MEM 170.941406 1711776311.2295
MEM 170.941406 1711776311.3385
MEM 175.011719 1711776311.4486
MEM 176.460938 1711776311.5571
MEM 176.695312 1711776311.6660
MEM 176.757812 1711776311.7756
MEM 176.796875 1711776311.8832
MEM 176.800781 1711776311.9905
MEM 176.804688 1711776312.0982
MEM 176.804688 1711776312.2061
MEM 176.804688 1711776312.3128
MEM 176.804688 1711776312.4210
MEM 170.816406 1711776312.5298
MEM 171.878906 1711776312.6384
MEM 174.335938 1711776312.7471
MEM 175.812500 1711776312.8559
MEM 176.191406 1711776312.9658
MEM 176.234375 1711776313.0733
MEM 176.363281 1711776313.1805
MEM 176.402344 1711776313.2900
MEM 176.402344 1711776313.3996
MEM 176.402344 1711776313.5087
MEM 176.402344 1711776313.6168
MEM 180.183594 1711776313.7258
MEM 170.824219 1711776313.8359
MEM 174.042969 1711776313.9444
MEM 175.144531 1711776314.0520
MEM 175.894531 1711776314.1617
MEM 176.187500 1711776314.2709
MEM 176.281250 1711776314.3793
MEM 176.304688 1711776314.4884
MEM 176.410156 1711776314.5982
MEM 176.414062 1711776314.7059
MEM 176.433594 1711776314.8147
MEM 176.515625 1711776314.9236
MEM 170.976562 1711776315.0333
MEM 170.976562 1711776315.1420
MEM 174.597656 1711776315.2521
MEM 175.382812 1711776315.3592
MEM 176.152344 1711776315.4682
MEM 176.296875 1711776315.5784
MEM 176.406250 1711776315.6880
MEM 176.675781 1711776315.7974
MEM 176.765625 1711776315.9083
MEM 176.781250 1711776316.0169
MEM 176.808594 1711776316.1250
MEM 176.808594 1711776316.2337
MEM 176.816406 1711776316.3414
MEM 176.816406 1711776316.4503
MEM 171.253906 1711776316.5603
MEM 171.257812 1711776316.6683
MEM 172.429688 1711776316.7773
MEM 175.214844 1711776316.8850
MEM 175.488281 1711776316.9932
MEM 176.578125 1711776317.0999
